DISTRICT_FAVRE,CITY_FAVRE,DISTRICT_ID_DFIH,CITY_ID_DFIH,,,,,,,CITY_ID_DFIH
Ain,Ambérieu,36,592,,,,,,Ambérieu_36,592
Ain,Ambérieu-en-Bugey,36,592,,,,,,Ambérieu-en-Bugey_36,592
Ain,Ambérieux-en-Dombes,36,591,,,,,,Ambérieux-en-Dombes_36,591
Ain,Artemare,36,41396,,,,,,Artemare_36,41396
Ain,Bagé-le-Chàtel,36,2355,,,,,,Bagé-le-Chàtel_36,2355
Ain,Bagé-le-Châtel,36,2355,,,,,,Bagé-le-Châtel_36,2355
Ain,Bellegarde,36,24459,,,,,,Bellegarde_36,24459
Ain,Belley,36,3569,,,,,,Belley_36,3569
Ain,Bourg,36,5260,,,,,,Bourg_36,5260
Ain,Chalmont,36,7678,,,,,,Chalmont_36,7678
Ain,Chalamont,36,7678,,,,,,Chalamont_36,7678
Ain,Champagne,36,7860,,,,,,Champagne_36,7860
Ain,Chatillon-s.-Chalaronne,36,8831,,,,,,Chatillon-s.-Chalaronne_36,8831
Ain,Châtillon-s.-Chalaronne,36,8831,,,,,,Châtillon-s.-Chalaronne_36,8831
Ain,Coligny,36,9855,,,,,,Coligny_36,9855
Ain,Colligny,36,9855,,,,,,Colligny_36,9855
Ain,Culoz,36,11340,,,,,,Culoz_36,11340
Ain,Divonne-les-Bains,36,11885,,,,,,Divonne-les-Bains_36,11885
Ain,Dorian,36,12094,,,,,,Dorian_36,12094
Ain,Dortan,36,12094,,,,,,Dortan_36,12094
Ain,Fernex,36,13700,,,,,,Fernex_36,13700
Ain,Ferney,36,13700,,,,,,Ferney_36,13700
Ain,Gex,36,15436,,,,,,Gex_36,15436
Ain,Hauteville,36,16800,,,,,,Hauteville_36,16800
Ain,Jujurieux,36,18002,,,,,,Jujurieux_36,18002
Ain,La Chése,36,23772,,,,,,La Chése_36,23772
Ain,Lagnieu,36,18327,,,,,,Lagnieu_36,18327
Ain,Lhuis,36,17380,,,,,,Lhuis_36,17380
Ain,Marboz,36,20990,,,,,,Marboz_36,20990
Ain,Maximieux,36,22389,,,,,,Maximieux_36,22389
Ain,Meximieux,36,22389,,,,,,Meximieux_36,22389
Ain,Mézériat,36,22426,,,,,,Mézériat_36,22426
Ain,Miribel,36,22605,,,,,,Miribel_36,22605
Ain,Montluel,36,23650,,,,,,Montluel_36,23650
Ain,Montmerle,36,23680,,,,,,Montmerle_36,23680
Ain,Montmerlè,36,23680,,,,,,Montmerlè_36,23680
Ain,Montrevel,36,23831,,,,,,Montrevel_36,23831
Ain,Nantua,36,24583,,,,,,Nantua_36,24583
Ain,Oyonnax,36,25988,,,,,,Oyonnax_36,25988
Ain,Pont d'Ain,36,27517,,,,,,Pont d'Ain_36,27517
Ain,Pont-d'Ain,36,27517,,,,,,Pont-d'Ain_36,27517
Ain,Pont-de-Vaux,36,27537,,,,,,Pont-de-Vaux_36,27537
Ain,Pont-de-Veyle,36,27538,,,,,,Pont-de-Veyle_36,27538
Ain,Sathonay,36,35434,,,,,,Sathonay_36,35434
Ain,Seyssel,36,36279,,,,,,Seyssel_36,36279
Ain,St-Didier-s.-Charlonne,36,31201,,,,,,St-Didier-s.-Charlonne_36,31201
Ain,St-Didier-s.-Chalaronne,36,31201,,,,,,St-Didier-s.-Chalaronne_36,31201
Ain,St-Etienne-s.-Chalaronne,36,31647,,,,,,St-Etienne-s.-Chalaronne_36,31647
Ain,St-Étienne-s.-Charlonne,36,31647,,,,,,St-Étienne-s.-Charlonne_36,31647
Ain,St-étienne-s.-Chalaronne,36,31647,,,,,,St-étienne-s.-Chalaronne_36,31647
Ain,St-Germain-de-Joux,36,32052,,,,,,St-Germain-de-Joux_36,32052
Ain,St-Rambert-en-Bagey,36,34383,,,,,,St-Rambert-en-Bagey_36,34383
Ain,St-Rambert,36,34383,,,,,,St-Rambert_36,34383
Ain,St-Rambert-en-Bugey,36,34383,,,,,,St-Rambert-en-Bugey_36,34383
Ain,Tenay,36,37210,,,,,,Tenay_36,37210
Ain,Thoiry,36,37503,,,,,,Thoiry_36,37503
Ain,Thoissey,36,37504,,,,,,Thoissey_36,37504
Ain,Trévoux,36,38196,,,,,,Trévoux_36,38196
Ain,Trèvoux,36,38196,,,,,,Trèvoux_36,38196
Ain,Villars,36,40059,,,,,,Villars_36,40059
Ain,Vonnas,36,41007,,,,,,Vonnas_36,41007
Aisne,Anizy-le-Château,20,878,,,,,,Anizy-le-Château_20,878
Aisne,Aubeton,20,1618,,,,,,Aubeton_20,1618
Aisne,Aubenton,20,1618,,,,,,Aubenton_20,1618
Aisne,Beaurevoir,20,3313,,,,,,Beaurevoir_20,3313
Aisne,Beaurieux,20,3315,,,,,,Beaurieux_20,3315
Aisne,Blerancourt,20,4504,,,,,,Blerancourt_20,4504
Aisne,Blérancourt,20,4504,,,,,,Blérancourt_20,4504
Aisne,Bohain,20,4603,,,,,,Bohain_20,4603
Aisne,Braine,20,5565,,,,,,Braine_20,5565
Aisne,Brunehamel,20,6149,,,,,,Brunehamel_20,6149
